model,number_of_basins,median_NSE,mean_NSE,median_KGE,median_R2,median_FLV,median_FHV,median_low_flow_NSE,median_high_flow_NSE,median_ET_over_P,median_Q_over_P,median_alpha_mean,median_aSrz_capacity_mm,median_mean_aSrz_mm,median_weighted_process_closure_residual_mm_day,mean_weighted_process_closure_residual_mm_day,median_weighted_cumulative_relative_wb_error,mean_weighted_cumulative_relative_wb_error,basins_gt_1pct_wb_error,total_external_losses_frac_of_p,run_name,status,median_alpha_t_mean,median_K_t_mean,median_K_mult_t_mean,median_beta_gw,median_K_t_std,median_lower_clamp_frac,median_upper_clamp_frac
Model6Closed_Snow_aSrz_SIMHYD_Simple,671,0.6848205924034119,0.4799406922321028,0.6429551371087405,0.7310288376553059,11.676150796017946,-32.42977512641921,-38.10519218444824,0.601977527141571,0.5712206776645176,0.4278673721823537,0.5373719334602356,166.08682250976562,73.66663360595703,0.0001832291745813,0.0001791261083984,5.623075841391812e-05,6.817897551964863e-05,0,0.0,main_closed_ep100,available,,,,,,,
Model6PhysicalFix_B_soft_gate,671,0.7199074029922485,0.555168124373819,0.750267705848076,0.7499121331360258,-23.382639229871984,-32.491094896692736,-10.310248851776125,0.6198027729988098,0.5005581014495417,0.376510384421019,,,,0.0305626466870307,0.0432446086383667,0.0124904673426284,0.0150841923124988,393,0.1429088905973481,soft_gate_reference_ep100,available,,,,,,,
Model6Physical_aSrz_Minimal,671,0.6509635150432587,0.3925248544813091,0.6681612905064995,0.6875333177829082,-11.538607568730573,-38.54678736722816,-26.854324340820312,0.5482509732246399,0.4121117514179551,0.4066271513433747,,108.8042449951172,,0.0002333641023142,0.0002367366011196,7.310459588812537e-05,9.159554639173476e-05,0,0.1822708665418533,asrz_minimal_ep10,available,0.3693401515483856,,,,,,
Model6C_dynamicK,671,0.6787717938423157,0.4258989150429091,0.6485701058960425,0.7212185189965593,5.790999811774118,-35.644503391747975,-36.504695892333984,0.5874783992767334,0.5967307127012823,0.3999512472868935,0.5702086091041565,163.2392578125,69.10191345214844,0.0001841563062043,0.0001803993168031,5.682525826479996e-05,6.861249454794215e-05,0,0.0,dynamicK_ep50,available,,0.0441434234380722,0.5088165998458862,,,,
DynamicKPowerGW_full671,671,0.6743493974208832,0.2856611265077765,0.6309814640958735,0.7241828602459522,22.9479585994615,-33.88315011951088,-26.4215726852417,0.5843344330787659,0.3523145823458435,0.409230682415984,,146.75282287597656,,0.0001835827861214,,5.691185467544882e-05,,0,0.0,dynamicK_powergw_ep50,available,,0.0776623412966728,,2.2509052753448486,0.0591799654066562,0.0,0.0
