gage_id,gage_name,lat,lon,NSE,KGE,logNSE,lowflow_NSE,highflow_NSE,fdc_error,ET_ratio,runoff_ratio,BFI,BFI_obs,BFI_error,groundwater_loss_fraction,water_balance_closure,sum_surface_runoff,sum_interflow,sum_recharge_to_groundwater,sum_baseflow,sum_groundwater_loss,sum_actual_ET,sum_total_discharge,mean_groundwater_storage,mean_soil_moisture,mean_snowpack,channel_loss_mean,zero_flow_probability_mean,COEF_t_mean,SQ_t_mean,ETGAM_t_mean,SUB_t_mean,CRAK_t_mean,K_t_mean,LG_t_mean,SG_CRIT_mean,CFMAX_t_mean,INSC_wavg,COEF_wavg,SQ_wavg,SMSC_wavg,SUB_wavg,CRAK_wavg,K_wavg,LG_wavg,TT_wavg,CFMAX_wavg,CFR_wavg,CWH_wavg,SG_CRIT_wavg,route_a_static,route_b_static,weight_c1,weight_c2,weight_c3,weight_c4
13235000,                     SF PAYETTE RIVER AT LOWMAN ID,44.08528,-115.62222,0.6485501527786255,0.5953755288324134,-0.1994614601135254,-23.321096420288086,0.32615208625793457,0.4829912163790455,0.2807392,0.45296332,0.42057675,0.6586718,0.23809505,0.9578777,-58519.9,3928.6338,167.92569,5249.5093,2743.62,62390.97,4043.1396,6523.4707,50.02691,74.26864,160.73618,0.052997854,0.95376754,337.06866,1.8180319,2.2183244,0.18416047,0.8036514,0.06141967,0.058093872,139.9636,1.9011542,0.72542286,337.0687,2.2452526,176.67072,0.38885754,0.64402544,0.06141968,0.074383,0.032977283,2.5281768,0.059678152,0.021681892,139.96358,2.381526,1.532026,0.1638551,0.35590625,0.14982049,0.3304182
13240000,  LAKE FORK PAYETTE RIVER AB JUMBO CR NR MCCALL ID,44.91361,-115.99722,0.8071391582489014,0.7426245170435501,0.42690086364746094,-6.866180896759033,0.6531530022621155,0.4464038050166056,0.22238693,0.66679996,0.28135717,0.45513666,0.17377949,0.94955266,-61109.855,8844.525,111.03714,4005.818,3354.486,63140.414,3976.3235,11922.519,24.322226,105.49163,201.00658,0.06654711,0.9601661,315.57724,2.826117,2.3573318,0.31594035,0.6650667,0.08278503,0.06338956,130.10374,2.6518798,0.7697512,315.57727,3.4141366,229.0462,0.5412493,0.49274492,0.08278504,0.07562353,-0.10381967,3.3727155,0.056459498,0.030474845,130.10373,2.0462632,1.6855915,0.16666187,0.24723504,0.25423753,0.3318655
13310700,      SF SALMON RIVER NR KRASSEL RANGER STATION ID,44.98694,-115.725,0.7953668385744095,0.649188275527324,0.8731716573238373,-3.182948112487793,0.5933016836643219,0.1297348315164631,0.2795942,0.40993372,0.4992482,0.57983756,0.080589354,0.9487395,-58591.12,3572.4707,197.08727,7321.7925,3453.611,63920.215,4718.147,6917.6235,85.52988,116.76734,192.36829,0.049864225,0.962805,342.99634,1.241524,2.3529437,0.17563647,0.8125943,0.054928876,0.05913328,138.43703,1.7874775,0.7409693,342.9964,1.4012239,237.81915,0.29067707,0.6869221,0.054928873,0.074496,0.08810878,2.3304112,0.06066379,0.02028574,138.43701,2.435698,1.4733201,0.122553155,0.3711587,0.1611078,0.3451804
13313000,                   JOHNSON CREEK AT YELLOW PINE ID,44.96167,-115.5,0.7314485609531403,0.6500583911521242,0.775811493396759,-17.90479278564453,0.558109849691391,0.2959929276285508,0.21737829,0.37761915,0.3952979,0.54361993,0.14832202,0.963343,-69748.51,4728.957,147.5456,10269.928,2988.204,78529.54,4351.589,7559.372,71.1068,93.646835,491.19174,0.0501244,0.96426374,340.52866,1.6434507,2.8306081,0.1682388,0.8227683,0.060521487,0.069894575,163.5658,1.8434196,0.69335395,340.52866,1.9263353,170.7178,0.31528002,0.710194,0.0605215,0.088893555,0.5236399,2.2427263,0.06482903,0.021590417,163.56581,2.3185153,1.2829826,0.1363358,0.49245727,0.1393606,0.23184626
13331500,"                        MINAM RIVER NEAR MINAM, OR",45.61987,-117.72659,0.8352403044700623,0.8361569092981961,0.8679765909910202,-4.519160270690918,0.6202656924724579,0.143678399887158,0.2508635,0.62905735,0.30901867,0.56480706,0.2557884,0.951147,-56651.656,6756.4243,102.4541,3635.6816,3005.4087,58513.96,3878.52,9725.654,88.7217,65.86185,125.035576,0.017547457,0.9635121,325.4163,2.2724023,2.2474506,0.43064767,0.55650586,0.071590476,0.05085708,157.2793,1.5862594,0.62870646,325.4163,2.7330396,135.39288,0.6561403,0.42026228,0.07159048,0.07107637,0.16255563,2.136701,0.06295957,0.019074159,157.27927,2.2154758,1.6598097,0.10315441,0.3622153,0.23738228,0.29724798
13337000,                         LOCHSA RIVER NR LOWELL ID,46.15083,-115.58722,0.9129966497421265,0.9122593071741978,0.8970846310257912,-2.653428554534912,0.8193268179893494,0.10381328985224594,0.21957,0.62233835,0.33710623,0.5668237,0.2297175,0.9324875,-54721.805,8145.8467,271.78186,5852.3623,4191.917,57899.07,4387.2495,12435.003,66.74176,77.413086,168.68518,0.023232939,0.96301985,318.9873,2.1542563,2.316834,0.33199093,0.6491286,0.07457131,0.058433577,133.53802,1.8141723,0.6411364,318.98734,2.534171,140.81415,0.5372365,0.47429684,0.07457131,0.074564315,0.049779892,2.3855178,0.055895485,0.018458249,133.53804,2.2199292,1.6352715,0.15000771,0.30761346,0.21564502,0.3267338
13338500,                  SF CLEARWATER RIVER AT STITES ID,46.08639,-115.97667,0.6663603186607361,0.5237034268441783,0.7095312774181366,-17.51974868774414,0.20055919885635376,0.5816404329127817,0.35754624,0.43822014,0.3773167,0.5855292,0.2082125,0.9665988,-60007.535,3578.6123,128.36008,3473.8503,2167.8213,62734.832,4687.673,5745.3623,59.826942,86.15997,61.93111,0.017975971,0.96307945,332.9169,1.470346,1.9075643,0.3041672,0.6831451,0.07715955,0.058053087,149.1372,1.6534435,0.6468618,332.91687,1.7539941,195.78258,0.5596092,0.5081563,0.077159554,0.07418662,0.28676873,2.3122163,0.060529098,0.021536607,149.1372,2.1771355,2.2191582,0.09248811,0.33378646,0.27229938,0.30142605
13340000,                    CLEARWATER RIVER AT OROFINO ID,46.47833,-116.2575,0.8734052032232285,0.8366310811415022,0.7772423028945923,-16.0814151763916,0.7321885824203491,0.5213783847450674,0.28500503,0.5685082,0.30863246,0.58080834,0.27217588,0.9555159,-59614.82,6834.6475,66.87212,3606.252,2889.2773,62061.492,4693.1387,9361.547,170.50766,100.71277,116.816444,0.064447835,0.9568359,362.45706,1.2639307,2.219058,0.55259085,0.43963805,0.10091521,0.06242298,137.1604,1.1433705,0.52258736,362.45706,1.3339982,187.0916,0.6876681,0.39271557,0.10091521,0.07503275,0.010488868,1.5485494,0.057528883,0.0061685573,137.1604,2.1965141,3.4532685,0.24020918,0.18175416,0.31235018,0.26568648
13340600,   NF CLEARWATER RIVER NR CANYON RANGER STATION ID,46.84047,-115.6207,0.8564170449972153,0.9254478686735496,0.8084869086742401,-2.898810386657715,0.6962590515613556,0.16977544945232187,0.20285338,0.6641929,0.33580226,0.6092834,0.27348113,0.91917205,-50409.99,9192.34,232.90778,5967.0566,4678.895,53208.22,4255.4717,13933.483,80.792404,72.17541,156.0123,0.02110655,0.9622035,330.26657,2.1577911,2.274802,0.3743018,0.6098029,0.07568345,0.053189047,132.36761,1.8780541,0.68043524,330.26654,2.5307755,127.76592,0.57559544,0.45567682,0.075683445,0.07077798,-0.17119819,2.4747148,0.05346519,0.01404534,132.36763,2.1345727,1.5259329,0.16615868,0.26935744,0.22993986,0.33454397
14020000," UMATILLA RIVER ABOVE MEACHAM CREEK, NR GIBBON, OR",45.71958,-118.32329,0.7099076211452484,0.6726059359410402,0.6363597512245178,-22.009674072265625,0.4110458493232727,0.3435193436694654,0.28591052,0.50261146,0.29920444,0.55074686,0.25154242,0.96934474,-66315.35,5097.669,160.89606,3960.4607,2195.1782,69413.37,4173.491,7336.717,38.63613,85.24344,46.392,0.017121783,0.9655992,316.02783,2.7845469,1.8198481,0.30379763,0.6828773,0.07069129,0.064224824,158.89026,2.1766987,0.877245,316.0279,3.2036893,180.79236,0.5544842,0.48969772,0.07069129,0.079985276,0.038882077,3.0272741,0.058994457,0.019990612,158.89021,1.2625628,1.8228252,0.07160195,0.34774107,0.32575336,0.25490355
14092750,"SHITIKE CR, AT PETERS PASTURE, NR WARM SPRINGS, OR",44.75039,-121.6334,0.574948787689209,0.5234328407272544,0.60757777094841,-2.3565170764923096,0.3525187373161316,0.22727697854494833,0.18298756,0.5658248,0.5545225,0.6581285,0.103605986,0.8841167,-55496.48,6574.7524,235.20697,13389.287,8168.095,62317.45,4763.665,14729.962,200.53696,115.980354,298.4163,0.03248876,0.9776442,360.98172,1.3429959,2.6860342,0.22441797,0.7660389,0.040527593,0.05071,126.16148,1.2982041,0.5529463,360.98172,1.3451698,172.92624,0.33202362,0.6988015,0.040527597,0.061254445,-0.2465576,1.6517534,0.06478383,0.00713851,126.16148,2.1520078,0.69952935,0.09117727,0.3496456,0.10505208,0.45412502
