gage_id,gage_name,lat,lon,huc,NSE_model_six,NSE_hbv,NSE_diff_model_six_minus_hbv,nse_bin_model_six,nse_bin_hbv,KGE,logNSE,lowflow_NSE,highflow_NSE,fdc_error,BFI_error,ET_ratio,runoff_ratio,water_balance_closure,BFI,BFI_obs
1013500,"                  Fish River near Fort Kent, Maine",47.23739,-68.58264,1,0.7601940488036631,0.4916187646889323,0.26857528411473086,0.65-0.8,0.4-0.5,0.8445470185031878,0.2703301310539245,-10.656036376953123,0.630768209695816,0.2929918602874607,0.23444882,0.27741426,0.523108,-55266.17,0.31638935,0.5508382
1022500,"           Narraguagus River at Cherryfield, Maine",44.60797,-67.93524,1,0.830858466906998,0.6812225039457109,0.14963596296128712,>=0.8,0.65-0.8,0.8724930846933372,0.8227138072252274,-0.1822156906127929,0.65847048163414,0.15777068077954,0.020792574,0.26944676,0.5755908,-43307.062,0.4330664,0.45385897
1030500,"       Mattawamkeag River near Mattawamkeag, Maine",45.50097,-68.30596,1,0.8556498613605263,0.7751804432192715,0.08046941814125486,>=0.8,0.65-0.8,0.8475696689444954,0.7847321331501007,-5.1288604736328125,0.6696726381778717,0.2843321041392594,0.10261339,0.2907216,0.5316698,-50304.04,0.3250415,0.4276549
1031500,"      Piscataquis River near Dover-Foxcroft, Maine",45.17501,-69.3147,1,0.8144581235307985,0.8142488435923048,0.00020927993849373383,>=0.8,>=0.8,0.8984557875827456,0.7588210999965668,-7.039223670959473,0.7035732269287109,0.3462653932280898,0.020242333,0.2588955,0.5876226,-42517.867,0.3691976,0.34895527
1047000,"        Carrabassett River near North Anson, Maine",44.8692,-69.9551,1,0.8196413664334322,0.7664280599748015,0.05321330645863076,>=0.8,0.65-0.8,0.8069732900874063,0.7814429700374603,-0.9939757585525512,0.698609322309494,0.1655874052971532,0.01429674,0.26881802,0.5687064,-43568.63,0.39124382,0.37694708
1052500,"         Diamond River near Wentworth Location, NH",44.87739,-71.05749,1,0.846779193646251,0.7821340125757177,0.0646451810705333,>=0.8,0.65-0.8,0.8289201149077939,0.7070536017417908,-4.860799312591553,0.7686123698949814,0.1318692986183987,0.011086732,0.21897298,0.6007695,-43996.992,0.35276496,0.3638517
1054200,"                       Wild River at Gilead, Maine",44.39044,-70.97964,1,0.6907259061599762,0.5888452672470512,0.10188063891292498,0.65-0.8,0.5-0.65,0.7895175118225513,0.662301778793335,-4.829672336578369,0.5776124894618988,0.1437519921142925,0.06327313,0.21591528,0.6333183,-54560.68,0.29149622,0.35476935
1055000,"                   Swift River near Roxbury, Maine",44.64275,-70.58878,1,0.7130016956622076,0.654867373623051,0.05813432203915658,0.65-0.8,0.65-0.8,0.7807329878575544,0.7259983420372009,-2.226422071456909,0.5710857510566711,0.1125350979654896,0.034368306,0.23989668,0.59338504,-51452.91,0.3128681,0.3472364
1057000," Little Androscoggin River near South Paris, Maine",44.30399,-70.53968,1,0.7633264822858316,0.8284790893610523,-0.06515260707522075,0.65-0.8,>=0.8,0.8289280834695822,0.7867385298013687,-2.865373373031616,0.622890442609787,0.2403785957936591,0.048630774,0.2664438,0.56410146,-46752.69,0.43535534,0.38672456
1073000,"                      OYSTER RIVER NEAR DURHAM, NH",43.1487,-70.96506,1,0.8946901678573642,0.8791404892539336,0.015549678603430594,>=0.8,>=0.8,0.9089644138832164,0.7854023575782776,-7.531328201293945,0.8651673644781113,0.7171614048831799,0.02927652,0.31554312,0.5334189,-44970.055,0.41820562,0.3889291
1078000,"                      SMITH RIVER NEAR BRISTOL, NH",43.56646,-71.74786,1,0.8377792555887039,0.8010671731061408,0.03671208248256308,>=0.8,>=0.8,0.8902357240197558,0.8408169597387314,-2.156766414642334,0.7483499944210052,0.1840913897433012,0.06762454,0.28036878,0.5332448,-43459.914,0.47137642,0.40375188
1118300,"       PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.",41.47482,-71.83424,1,0.7789745718964969,0.7952521461608407,-0.01627757426434384,0.65-0.8,0.65-0.8,0.8855131952112895,0.7811466157436371,-6.689611911773682,0.6608933210372925,0.8921693655131138,0.00051659346,0.28291374,0.5540187,-44742.707,0.43928564,0.43980223
1121000,"            MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",41.84371,-72.16897,1,0.7691313040950194,0.7372344700212512,0.0318968340737682,0.65-0.8,0.65-0.8,0.7930472053654422,0.7306526601314545,-4.495135307312012,0.6625665426254272,0.9341183660353236,0.06481883,0.30690676,0.52116203,-39833.75,0.49690259,0.43208376
1123000,"                    LITTLE RIVER NEAR HANOVER, CT.",41.67177,-72.0523,1,0.7151765447257427,0.7726569523490043,-0.057480407623261676,0.65-0.8,0.65-0.8,0.7541868261308797,0.7890178114175797,-6.463133811950684,0.606364369392395,0.2949722495385051,0.0017112195,0.2990152,0.53185916,-38135.66,0.49716398,0.49545276
1134500,"                        MOOSE RIVER AT VICTORY, VT",44.51172,-71.83731,1,0.7598677096213708,0.7610442088854716,-0.0011764992641007943,0.65-0.8,0.65-0.8,0.7873998434088572,0.7494350373744965,-4.178593635559082,0.5989697873592377,0.1077957327569614,0.0671041,0.25224397,0.5489033,-42711.188,0.46039063,0.39328653
