variant,median_mean_abs_residual_mm_day,mean_mean_abs_residual_mm_day,median_relative_error,mean_relative_error,basins_gt_1pct_relative_error
original,11.92459,13.325139456333831,3.705746,5.531249506870343,671
Model6PhysicalFix_A_explicit_gate,0.03857480362057686,0.050751073605862576,0.014908990083196376,0.017500748066566593,447
Model6PhysicalFix_B_soft_gate,0.03384969383478165,0.04547310755872647,0.01358795968678133,0.015974530501356315,416
