model,median_NSE,median_KGE,median_R2,median_FLV,median_FHV,median_low_flow_NSE,median_high_flow_NSE,median_mean_abs_residual_mm_day,median_relative_error,basins_gt_1pct_relative_error,NSE_lt_0_count,median_ET_P_ratio
HBV_Epoch10,0.6278026700019836,0.6377345635467665,0.6838170374270693,-22.49097440168235,-38.31927976578909,-25.136771202087402,0.5132996439933777,8.544369848095812e-06,3.250646848582199e-06,0,66,0.6449338861356124
Model6PhysicalFix_B_soft_gate,0.7157953381538391,0.7474775868628134,0.7515563527610405,-21.574803753761074,-32.79540090356678,-10.362995624542236,0.6207740306854248,0.0338496938347816,0.0135879596867813,416,29,0.5129032441311103
