variant,basin_id,NSE,KGE,R2,FLV,FHV,low_flow_NSE,high_flow_NSE,bias,runoff_ratio_bias,observed_mean_q,simulated_mean_q,sim_obs_q_ratio,precip_runoff_ratio_obs,precip_runoff_ratio_sim,ET_P_ratio,extreme_channel_loss_flag,extreme_groundwater_loss_flag,near_zero_sim_discharge_wet_flag,lat,lon,area_km2,mean_abs_water_balance_error_mm_day,relative_error
Model6PhysicalFix_A_explicit_gate,7142300,-16.517799377441406,-3.0434057222305277,0.20538944965868675,36.24036461745795,9.028945939480469,-245.62258911132812,-20.09540367126465,0.04075336083769798,2.0479353048746645,0.019899731501936913,0.060653094202280045,3.0479353048746645,92.85186911748221,30.463857440892554,0.7762355804653106,False,False,False,37.87159,-98.87614,1819.94,0.023353558033704758,0.012639072105004636
Model6PhysicalFix_A_explicit_gate,7301410,-8.360820770263672,-1.5679686374284838,0.3244656286427114,71.23133945306841,57.18867764272527,-4.971442222595215,-10.494206428527832,0.014089880511164665,0.32203246817989123,0.04375298693776131,0.05784286931157112,1.3220324681798912,38.581546906866706,29.183508700638527,0.8149253255412771,False,False,False,35.4731,-100.12095,769.67,0.021392660215497017,0.012672942648605055
Model6PhysicalFix_A_explicit_gate,6409000,-4.47280216217041,-0.6690789835182267,0.34498037843436097,-25.891007794863782,-27.863762808887312,-136.50535583496094,-8.952316284179688,0.15124787390232086,0.7756461123219084,0.19499599933624268,0.34624388813972473,1.7756461123219083,9.010074502461897,5.074251003809327,0.5477138123856171,False,False,False,44.01359,-103.83048,205.33,0.042929843068122864,0.024434600227852828
Model6PhysicalFix_A_explicit_gate,6784000,-3.88847017288208,-0.6002673341856499,0.23436092658602148,64.21010350205927,-80.80829102669863,-2.4606845378875732,-5.91811990737915,0.006955091841518879,0.07862252700670638,0.08846195042133331,0.09541705250740051,1.0786225270067065,20.114278633535353,18.648116980518815,0.7287410922558859,False,False,False,41.03244,-98.74053,6019.74,0.03360976651310921,0.018888806846861176
Model6PhysicalFix_A_explicit_gate,10172700,-3.138439655303955,-0.637220121616642,0.6033578985753982,32.66731826455878,18.801361033627465,-41.84959411621094,-3.597285747528076,0.1204228401184082,0.9174924138732796,0.13125216960906982,0.2516750395298004,1.9174924138732796,10.626764340252194,5.542011658106541,0.6173459106010767,False,False,False,39.97939,-112.38023,69.93,0.04884486645460129,0.03501961582740193
Model6PhysicalFix_A_explicit_gate,5120500,-3.0269265174865723,-0.4637100459768939,0.23448290610396907,80.3076146871212,25.50869179146951,-389.3304748535156,-4.0586256980896,0.02162049151957035,0.4810732355886234,0.04494220018386841,0.06656268984079361,1.4810732355886234,30.508788674113433,20.599109485129773,0.7035485187250146,False,False,False,48.13834,-100.53986,1509.83,0.020479697734117508,0.014936342584317586
Model6PhysicalFix_A_explicit_gate,9447800,-2.903834104537964,-0.26479236881032,0.11139688665515177,-35.7609820879468,-38.50672220950261,-13671.6875,-0.9036418199539185,0.0018879270646721125,0.10436590372369098,0.01808951608836651,0.019977444782853127,1.104365903723691,55.03732252533087,49.83612868545402,0.7988229621120622,False,False,False,32.95562,-109.53119,781.96,0.004994940012693405,0.005017022148701489
Model6PhysicalFix_A_explicit_gate,9306242,-2.4685657024383545,-1.0216915866123353,0.2831221611718444,-93.35415705784303,-48.746743579733916,-2820.38232421875,-1.9216492176055908,0.0572751946747303,1.6966242960110494,0.03375832736492157,0.09103352576494217,2.6966242960110494,37.673144161254456,13.970483212455573,0.6777306725827678,False,False,False,39.92025,-108.47287,81.99,0.02117895893752575,0.016652974529559248
Model6PhysicalFix_A_explicit_gate,6408700,-2.441634178161621,0.08480235218149723,0.07101828693854151,-427.1161621818124,-54.368194872006775,-41.67713928222656,-39.24131774902344,-0.2897736132144928,-0.4172439149798651,0.6944946646690369,0.4047209918498993,0.5827560850201349,2.6776261885950565,4.5947631232947055,0.5115956064364147,False,False,False,44.13665,-103.85854,20.8,0.03566687926650047,0.01917989551110669
Model6PhysicalFix_A_explicit_gate,7301500,-1.111546277999878,0.060365296657383105,0.3198969114188611,86.13979092924367,-30.2135444557805,-23.492267608642578,-1.624082088470459,0.017650268971920013,0.36348394009260254,0.04855860397219658,0.06620887666940689,1.3634839400926024,35.733427727953085,26.207443037139807,0.7996543038218873,False,False,False,35.16811,-99.50731,6885.07,0.026781469583511353,0.015434534993237898
