variant,epoch,loss,epoch_time_sec
Model6PhysicalFix_A_explicit_gate,1,1.1330005675554276,136.7439842224121
Model6PhysicalFix_A_explicit_gate,2,1.1295360505580903,137.37726950645447
Model6PhysicalFix_A_explicit_gate,3,1.0748324155807496,137.14926075935364
Model6PhysicalFix_A_explicit_gate,4,1.2117861568927766,137.0119812488556
Model6PhysicalFix_A_explicit_gate,5,1.1081258565187455,137.66249108314514
Model6PhysicalFix_A_explicit_gate,6,1.1592024624347688,137.85688185691833
Model6PhysicalFix_A_explicit_gate,7,1.1772988826036452,137.816908121109
Model6PhysicalFix_A_explicit_gate,8,1.1057585179805756,137.8260838985443
Model6PhysicalFix_A_explicit_gate,9,1.073251885175705,138.00808548927307
Model6PhysicalFix_A_explicit_gate,10,1.134062221646309,138.37956142425537
Model6PhysicalFix_B_soft_gate,1,1.1341482877731324,142.29987978935242
Model6PhysicalFix_B_soft_gate,2,1.0919995695352553,142.17603874206543
Model6PhysicalFix_B_soft_gate,3,1.0905691355466842,142.09680771827698
Model6PhysicalFix_B_soft_gate,4,1.1987806349992751,142.09139490127563
Model6PhysicalFix_B_soft_gate,5,1.1698436945676804,142.14489197731018
Model6PhysicalFix_B_soft_gate,6,1.1319671720266342,142.02237820625305
Model6PhysicalFix_B_soft_gate,7,1.1304886192083359,142.1200888156891
Model6PhysicalFix_B_soft_gate,8,1.1254412829875946,142.0456142425537
Model6PhysicalFix_B_soft_gate,9,1.131255242228508,142.11773562431335
Model6PhysicalFix_B_soft_gate,10,1.093832877278328,142.11023545265198
