variable,units,n_pairs,n_basins,start,end,NSE,KGE,R2,r,RMSE,bias,pbias_pct
ET_MODIS_monthly_mean_daily_flux,mm/day,70455,671,2002-01-31,2010-09-30,0.604760489183334,0.7924964007039283,0.6334446347017628,0.7958923512019467,0.7262334354215678,0.018966834702085125,1.1602409558495719
Runoff_monthly_mean_daily_flux,mm/day,70366,671,2002-01-31,2010-09-30,0.8708576424117873,0.8425883932563485,0.8762221941583901,0.9360674089820615,0.8645385633539256,0.1463392393248542,9.860417042495113
SWE_monthly_mean_snowdominated,mm,3960,22,1995-10-31,2010-09-30,-0.13586178902742096,0.08380410325856458,0.1245601931976501,0.35293086178124194,102.72433229484585,-29.046512116318667,-60.44664008337648
TWSA_GRACE_monthly_anomaly,mm,16236,164,2002-04-30,2010-09-30,0.33038213739930367,0.6483424583442715,0.42382468416765645,0.65101819035082,70.89485611393933,6.851589009433553e-09,7.039278557559364e-07
