P,PET,LAI,slope,sand,basin_id
-6.585055492828341,-81.83669410749745,7.480129671124843,8.62764118511138,-6.139790574607359,1013500
-2.934668350475963,-79.05345162788875,-20.92384730651442,6.058567824837944,9.348893293334763,1022500
-6.137848434711067,-90.81339643040063,-11.329227721390303,10.160321692953325,-0.8017777239136935,1030500
-4.770231114593185,-94.42520893465144,-14.503324616004381,5.0831122522253835,-0.8127950504342666,1031500
-5.549746197251025,-102.8146834027458,-17.12758257090537,10.183683343074769,5.145301836435848,1047000
-4.012591641762739,-93.36157951188207,-12.433020803098277,10.85819640935749,-1.376716831030543,1052500
-1.5100283366428326,-76.54572003334009,-20.024728863865608,8.790358603234731,9.130260791626855,1054200
-2.7453679278464227,-106.98498623788949,-16.74327685548972,10.652142659386707,5.015072096669829,1055000
-3.4737806834791742,-75.50794526541192,-11.57670905150263,3.8814765021402264,9.749768580346117,1057000
-2.064418932319595,-63.14419070408644,-2.623234935097398,3.5775727166061513,12.114565665549838,1073000
-2.5836849267942705,-77.62089729479688,-4.653437337360716,6.908002415722505,9.950479991597598,1078000
-3.0505613159949565,-54.97223906846573,0.8784703856589386,8.580002132051549,17.95005681227669,1118300
-0.2793695230263871,-67.17155441145827,-2.4563459159434156,9.774533844236961,12.318794670899699,1121000
0.056203026064288376,-65.89611875858117,-0.7800938146891139,10.085477000810236,11.538658222802662,1123000
-4.036595352372368,-105.3270846644407,-16.224227280051288,8.582963228168786,3.2303792146482433,1134500
-1.2570579631590657,-76.60572380838241,-18.323008644588654,8.951834886399274,7.19639065679921,1137500
-7.332405211537095,-84.63729287555006,-12.647726156424952,5.088342022571394,5.777070717056328,1139000
-6.4217573792132105,-79.90798208066889,-21.396590153045615,4.616531236741702,5.19799413391792,1139800
-5.257167482651021,-64.62415760246267,5.186560421503439,7.4358627220356635,9.421848115782568,1142500
-4.166911524385371,-91.32182566542838,-20.20514828376897,9.900951443042633,5.067027749516703,1144000
-0.09447921499578324,-64.21908640428252,3.329709108096211,7.355998202683747,11.30596383876314,1162500
-1.0041099817545842,-74.06455893716742,-1.6528624241016416,7.070163843855278,5.452947216249956,1169000
-0.12250921307292481,-70.48177322264493,1.4064103993742814,7.247407371121808,9.854233487750905,1170100
-0.48152040601246043,-67.74231209501825,-1.932011368943214,4.592226545405711,10.87333006099816,1181000
-0.4764911297442934,-66.62420640330396,2.474144036655503,4.371896122867316,9.533698114802112,1187300
-1.751688679658573,-46.007760657828875,1.2621741064492866,8.991015730343776,18.494370621066775,1195100
-3.2029476835421224,-88.15469470099893,-17.057533859666044,9.683131572995553,3.6994611599767313,1333000
-3.0957641754201726,-82.79683261963076,-13.629473150336253,10.33913654774247,-1.0205037641914039,1350000
-4.217492191998571,-87.40961049515305,-6.719845500296191,9.68484167911571,-1.9510801396542772,1350080
-4.183875625810491,-78.74831477651965,-1.1857602079259977,10.5677129517429,-7.139526682128076,1350140
-5.693261609180621,-74.9319093841007,-5.658197627511878,7.793564678068364,-7.400792261157369,1365000
-6.260144615555275,-31.214782675092327,9.556142269227344,3.677983526833789,19.957350502274622,1411300
-3.5745316667379248,-82.01782556291286,0.45797874961649127,9.291475107020542,-3.6737352888164123,1413500
-4.908724075132058,-82.76183637190036,-10.244846471528207,10.58507910476206,-5.080890018442138,1414500
-4.240302551453726,-86.8764996734462,-12.157883755672785,8.982471010466153,-2.380518207313356,1415000
-3.8060456437283503,-79.04600333141966,-0.2515697236659912,6.817087106377562,-1.1522985873255838,1423000
1.5883422560087812,-65.77757967114844,-2.6318584998443466,8.294256900438118,-9.68209064119611,1434025
-7.327761313927118,-79.646572545256,-15.032876180724466,8.480956408215098,-6.045843222704301,1435000
-1.3142677831312737,-61.13356938009846,-5.736948380007549,6.0851380536264825,5.644737677864999,1439500
-4.2566967325677245,-58.89723160455217,-2.0533600714519538,4.267981427793282,-2.508481483007652,1440000
-2.479854684172367,-58.50887744668231,-3.795142061261841,5.669913254018715,1.1385177395339796,1440400
-4.799420534436898,-61.417584619108226,12.569857787282485,10.643540828953272,-2.1972221810652774,1451800
21.51123542449465,53.23694614206334,-0.8543103849718573,0.19214475521556054,16.876118190061522,1466500
-0.0008754882080085451,-14.2933822931226,5.249433811513007,6.879263033443971,29.97703985698356,1484100
-4.543738748445351,-18.44216415443803,11.251726355090208,2.967185052376397,24.78814355055319,1485500
-1.6519522604888701,-13.258398027727656,7.586118732739525,3.026446442603454,13.258327610461754,1486000
1.9708337706185615,-20.747176132787477,9.468236007457895,4.702414558592063,22.90202278991537,1487000
0.47480375832410165,-21.75989735540659,14.769478809925637,2.9256224756355547,8.277739931509712,1491000
-6.264705119727739,-72.50403906448034,-16.12653521124895,3.1984114021471615,-5.754291829438176,1510000
-5.389012457024662,-73.00040129835193,-16.7052248501265,4.418650990680039,-2.7999702448831654,1516500
-2.602141008345915,-73.67148427223484,-13.238099558545985,6.353358614033489,-5.061059609646995,1518862
-5.244567831435484,-74.436636336611,-16.396584926821884,4.0358236350586285,-3.1040825356861697,1532000
-4.881824068562846,-62.16445894282211,-5.702204587183475,2.9111066288486644,-2.4996535587196598,1539000
-6.3933437915293165,-70.94429966189657,-3.455158144933473,5.260842675557866,-6.178021600252403,1542810
