model,epoch,median_test_nse,mean_test_nse
HBV,10,0.6278148701696469,0.3387203266692386
SIMHYD,10,0.4192590560754129,0.14580672169037776
Snow-SIMHYD-MC,10,0.6290037068345274,0.301006424727989
