model,number_of_basins,median_NSE,median_KGE,median_FLV,median_FHV,median_low_flow_NSE,median_high_flow_NSE,median_INT_over_P,median_ET_over_P,median_Q_over_P,total_INT_over_P,total_ET_over_P,total_Q_over_P,total_delta_storage_over_P,external_loss_over_P,median_daily_wb_residual_mm_day,median_cumulative_wb_error,basins_gt_1pct_wb_error
HBV_Epoch10,671,0.6278026700019836,0.6377345635467665,-22.49097440168235,-38.31927976578909,-25.1367712020874,0.5132996439933777,0.0,0.6449338861356124,0.354147375854012,0.0,0.549311458549057,0.45008497088173394,0.0006035698837429709,0.0,8.544369848095812e-06,3.250646848582199e-06,0
Model6Closed_Snow_aSrz_SIMHYD_Simple_Ep30,671,0.6698658466339111,0.6477102648021246,4.554420988971913,-37.696835994370346,-34.209428787231445,0.5780904591083527,0.17463449104123474,0.42757669792584146,0.3875711662372941,0.1516766660145905,0.3660346549797251,0.48112171052403024,0.001235160522886899,0.0,0.0001845357910497114,5.687206323893893e-05,0
Model6PhysicalFix_B_soft_gate,671,0.7199074029922485,0.750267705848076,-23.382639229871984,-32.491094896692736,-10.310248851776125,0.6198027729988098,0.1006261103312958,0.3966267747532071,0.3729895364409261,0.09220754701358541,0.3411912708946665,0.46088450834101435,-0.0003819414290858605,0.11983410554721571,0.0305626466870307,0.0124904673426284,393
