BFI_error,COR,ET_ratio,KGE,NSE,R2,fdc_error,gage_id,gage_name,highflow_NSE,logNSE,lowflow_NSE,representative_class,runoff_ratio
0.14791149,0.46190556746931527,0.6863296999999999,-3.4024789765756216,-19.18868637084961,0.21335675325915016,1184.7607591027338,7142300,"                   RATTLESNAKE C NR MACKSVILLE, KS",-23.221349716186523,-0.5734797716140747,-315.0667724609375,poor,0.03479244
0.13827649,0.84575731260989,0.38138299999999997,0.7735316876723211,0.709443598985672,0.7153054318331031,0.21361196774990526,1639500,"                  BIG PIPE CREEK AT BRUCEVILLE, MD",0.6243206858634949,0.7129626572132111,-2.8670008182525635,moderate,0.38570905
0.10842255,0.9722574165434609,0.17270452,0.9090785358728212,0.9418254792690276,0.9452844840237647,0.2679522491953465,14301000,"                       NEHALEM RIVER NEAR FOSS, OR",0.8924988880753517,0.8664756715297699,-3.0268354415893555,very_good,0.6377074
