aridity_class,snow_class,mean_abs_daily_wb_residual_mm_day_median,mean_abs_daily_wb_residual_mm_day_mean,cumulative_relative_wb_error_median,cumulative_relative_wb_error_mean,external_loss_over_P_median,external_loss_over_P_mean,n_basins
arid,non_snow,0.0002075678421533,0.00020326174495996228,0.00012430868886345,0.00013250756524253943,0.0,0.0,122
arid,snow_dominated,0.0001561584285809,0.00015572155981701967,8.944422429690198e-05,8.78454332674155e-05,0.0,0.0,56
humid,non_snow,0.0001719918946037,0.00017274198363498902,4.489394326264836e-05,4.240669000127848e-05,0.0,0.0,237
humid,snow_dominated,0.0001303887547692,0.00013057550201590093,2.6581675636713184e-05,2.955606627948668e-05,0.0,0.0,26
transitional,non_snow,0.0001915338216349,0.00018844476939700825,6.012769194540193e-05,6.086212311093168e-05,0.0,0.0,206
transitional,snow_dominated,0.0001441687927581,0.00014670178461524168,5.238210649290813e-05,5.4432697362154625e-05,0.0,0.0,24
