predictor,importance
aridity,0.32017439219823274
frac_forest,0.20498526147168797
soil_depth_pelletier,0.10384311318298067
geol_porostiy,0.10216913197019659
geol_permeability,0.0929302675762687
root_depth_50,0.0898437044515239
lai_max,0.06363887651862624
carbonate_rocks_frac,0.022415252630483242
