huc_02,NSE_median,NSE_mean,KGE_median,KGE_mean,R2_median,R2_mean,low_flow_NSE_median,low_flow_NSE_mean,high_flow_NSE_median,high_flow_NSE_mean,logNSE_daily_aux_median,logNSE_daily_aux_mean,n_basins
1,0.767299011349678,0.7646184900292644,0.8156694481263235,0.8084125202527211,0.7778995897782509,0.7805786531818868,-6.581576824188232,-9.572107438687924,0.6281327903270721,0.6374870284839913,0.7722710268495002,0.7715366750922196,27
2,0.6558725833892822,0.6202248444159826,0.684997221385602,0.6546847490686156,0.7097169296960026,0.6952379903766086,-19.873106002807617,-38.61985494931539,0.5748824179172516,0.5301884255806605,0.6842581052771376,0.6395237221614783,75
3,0.6853467524051666,0.6528803966939449,0.655863706693301,0.6062112119247473,0.723093874752166,0.7134722121913918,-39.57986068725586,-71031.0826571027,0.6369100511074066,0.594877953276686,0.6543585683761475,0.6111555981275747,92
4,0.6117320358753204,0.5126311745374433,0.6250612203359452,0.6303335763228192,0.7057887185631411,0.6854799730818827,-19.575050354003903,-62.87210099927841,0.4716066718101501,0.3038969136053516,0.6476622509298977,0.33452346140148137,31
5,0.7308862805366516,0.704943111538887,0.713473465960271,0.7026054933210306,0.7573132920508173,0.7362556171583877,-65.50853729248047,-219.82943734063042,0.6528618037700653,0.6343436068958707,0.6912002904307168,0.6731422388443429,45
6,0.7296999394893646,0.6967291490120047,0.6894502147091592,0.7118067825158207,0.7597024076813103,0.7507319376462923,-10.137778282165527,-24.930003699134378,0.6571485996246338,0.6368867255309049,0.697866307189063,0.695948857001774,17
7,0.7091959714889526,0.6560880094766617,0.5871697072802751,0.5819110807509279,0.7327904204777578,0.6941729424405313,-246.83827209472656,-6098.9531530033455,0.6570810377597809,0.6120017039956469,0.5759741083866114,0.5622363923933342,33
8,0.6173768937587738,0.6406513750553131,0.5291901879751746,0.5426876584573519,0.6951775337841455,0.7007584389276791,-61.25687217712402,-501.961444457372,0.5862203985452652,0.5998150929808617,0.5579084942022055,0.5626535131406073,12
9,0.2137316465377807,0.09469100170665318,0.2723749646509131,0.22160378033473382,0.3413142505331723,0.3910291844008962,-297.35863876342773,-1387.036917090416,0.1017985939979553,-0.0850578745206197,0.16120246297348595,0.055167041721136165,9
10,0.5077620297670364,0.2139591804572514,0.3937852576200632,0.2137232110115394,0.6036700460748043,0.4878838757126029,-239.15118408203125,-92396.74665860568,0.3780267536640167,-0.3157415735934462,0.30361180020288847,-0.005587803830811987,70
11,0.5957931280136108,-0.762401638973144,0.6083732728405995,-0.06319657953538246,0.6067943492220127,0.585274681108974,-177.08094787597656,-6387.920479577163,0.571173220872879,-0.7836483308384496,0.5381019037153982,-1.2383177032152004,31
12,0.4697868227958679,0.45258461704125275,0.3104202309182162,-0.014199406695688047,0.5706775717999917,0.5235571529779394,-1050.1492919921875,-23682.84052779757,0.4730161428451538,0.4360056342305364,0.38775355873688466,-0.009818751258468896,37
13,0.6418811976909637,0.4634678534099034,0.5851114031059443,0.44400022289569413,0.6609714973089301,0.66528560688121,-69.2070083618164,-120.53273977552142,0.468000590801239,0.4014749697276524,0.40599686393578194,0.2835520716542917,7
14,0.8595332205295563,0.6160406948012465,0.8064875598144765,0.48247618318643115,0.8892707755596142,0.7820635944136224,-34.44097900390625,-586.0544410943985,0.7764399498701096,0.6120012113276649,0.8514341295029468,0.479598287374456,17
15,0.1934758424758911,-0.3925582735162032,0.2013244306108016,-0.3168190271386735,0.4298432571625037,0.38515098662642433,-925.716796875,-470141.5702352524,0.1449484825134277,-0.16652648543056692,0.17599812327734543,-0.6052357102979313,19
16,0.3004623353481293,0.039506431668996804,0.3601329454028151,0.2944365814507839,0.6769742258018219,0.6247017233100911,-48.04120445251465,-146.41023533874088,0.25033473968505854,-0.17766806731621423,0.3161248228154308,0.04454844938402861,18
17,0.8068550080060959,0.7285327799208872,0.7850974503808941,0.6992996342456135,0.834690848608225,0.8124643729618516,-7.274494171142578,-61.14352568885782,0.6957088112831116,0.5808969354564018,0.8112815337616103,0.6715106934602928,91
18,0.7523718923330307,0.59525056630373,0.6958665537888753,0.4079473439919926,0.7870949689977561,0.745850400469644,-32.46792507171631,-1052.7634584903717,0.6753523498773575,0.5239091016352176,0.7958917515886266,0.5827245673611107,40
