predictor,spearman_theta_cap,spearman_aSrz_capacity
aridity,0.4890334891435944,0.28325101922789714
frac_forest,-0.38506362208995165,-0.20640590834069386
lai_max,-0.31786198875751115,-0.12809629201236736
root_depth_50,-0.21736260995282075,-0.06795259493795502
soil_depth_pelletier,0.12222921288229656,0.10052343978295034
runoff_ratio,-0.6198095955624038,-0.44869684828210826
baseflow_index,0.08002082942748467,0.10182726192329813
ET_over_P,0.6594171335148824,0.4726019148456144
geol_permeability,0.2409752288834139,0.24079207444432202
