gage_id,gage_name,lat,lon,huc,NSE_model_five,NSE_hbv,NSE_diff_model_five_minus_hbv,nse_bin_model_five,nse_bin_hbv,KGE,logNSE,lowflow_NSE,highflow_NSE,fdc_error,BFI_error,ET_ratio,runoff_ratio,water_balance_closure,BFI,BFI_obs
10336645,                         GENERAL C NR MEEKS BAY CA,39.05185,-120.11852,16,0.7513106810322627,0.5465688632472888,0.2047418177849739,0.65-0.8,0.5-0.65,0.8291087908516211,0.5646228492259979,-38.23705673217773,0.6224189698696136,0.5539118277640679,0.11169967,0.23509628,0.6664308,-45295.184,0.3267998,0.43849948
10336660,                      BLACKWOOD C NR TAHOE CITY CA,39.10741,-120.16214,16,0.7655764446209454,0.5428827753238032,0.22269366929714218,0.65-0.8,0.5-0.65,0.7432791999777575,0.7839969247579575,-33.7767219543457,0.6497585773468018,0.4456065806924307,0.099696636,0.20807622,0.7231638,-41023.12,0.39893624,0.49863288
10336740,"                   Logan House Ck nr Glenbrook, NV",39.06658,-119.93546,16,-4.815797847271908,-5.2283964172202895,0.41259856994838184,<0,<0,-1.5063329109018937,-0.6084625720977783,-336.65997314453125,-7.42264461517334,1.8063695526583543,0.045822263,0.4155202,0.42164826,-46092.863,0.59142977,0.63725203
10343500,                           SAGEHEN C NR TRUCKEE CA,39.43157,-120.23798,16,0.6500167751731528,0.6831903043991971,-0.03317352922604433,0.65-0.8,0.65-0.8,0.5963552408768853,0.6486591994762421,-27.462778091430664,0.5640583038330078,0.5462249354160144,0.008934259,0.3590119,0.44488388,-44006.902,0.5507656,0.55969983
10348850,                   GALENA C AT GALENA C STATE PARK,39.35435,-119.85852,16,0.3969275508675011,0.36191746802160574,0.03501008284589535,0.2-0.4,0.2-0.4,0.4881095153182926,0.4980774521827698,-3.370797634124756,0.3106537461280823,0.2316180399746597,0.15697807,0.28291282,0.62141997,-40362.234,0.5070036,0.6639817
10396000,         DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,42.79083,-118.8675,17,0.7248509813208581,0.4072388802400533,0.31761210108080484,0.65-0.8,0.4-0.5,0.8426693884650751,0.7446863055229187,-17.885316848754883,0.5025789439678192,0.2117601822658591,0.07646698,0.4463717,0.38222724,-46203.324,0.5160977,0.5925647
11098000,                        ARROYO SECO NR PASADENA CA,34.22223,-118.17757,18,0.7335939465236213,0.84435108266607,-0.11075713614244864,0.65-0.8,>=0.8,0.5321060776658583,0.6508208811283112,-5.979174613952637,0.7195806801319122,0.2923536707785851,0.27315202,0.50351757,0.26421052,-70323.195,0.62929624,0.35614422
11124500,                     SANTA CRUZ C NR SANTA YNEZ CA,34.59666,-119.90875,18,0.24535141429713936,-0.09284343156281816,0.3381948458599575,0.2-0.4,<0,0.2671842679884313,0.669144332408905,-1025.3665771484375,0.1629543304443359,1072.5619838919563,0.050406218,0.4645787,0.22480053,-77583.555,0.48410058,0.43369436
11141280,                       LOPEZ C NR ARROYO GRANDE CA,35.23553,-120.47239,18,0.5353627396637615,0.21148560756452717,0.3238771320992343,0.5-0.65,0.2-0.4,0.6904675387243819,-7.47950553894043,-12.676750183105469,0.4508125185966491,0.7907459037503684,0.011501193,0.5029414,0.21122472,-63344.883,0.58076024,0.56925905
11143000,                           BIG SUR R NR BIG SUR CA,36.2458,-121.77329,18,0.7479917656862656,0.6508810670213783,0.09711069866488731,0.65-0.8,0.65-0.8,0.6510115576465542,-2.856281280517578,-13.826476097106934,0.6488932967185974,0.6854083775414187,0.11787516,0.33140928,0.5938813,-31701.088,0.63026386,0.5123887
11148900,            NACIMIENTO R BL SAPAQUE C NR BRYSON CA,35.78858,-121.09381,18,0.7807002265086926,0.6605521055229499,0.12014812098574279,0.65-0.8,0.65-0.8,0.7622053403922792,0.8278318047523499,,0.7438278198242188,2243.498990298737,0.16188243,0.3970813,0.42744738,-59697.16,0.43205282,0.2701704
11151300,    SAN LORENZO C BL BITTERWATER C NR KING CITY CA,36.26802,-121.0663,18,0.6736204909063631,-0.7297166364765251,1.4033371273828883,0.65-0.8,<0,0.6366317320777493,0.3611924052238464,-67.411376953125,0.6543196439743042,62.34606889430064,0.021326095,0.5176874,0.038026407,-99639.54,0.27236336,0.29368946
11162500,                       PESCADERO C NR PESCADERO CA,37.26078,-122.32886,18,0.8395288836966439,0.847936829375378,-0.008407945678734041,>=0.8,>=0.8,0.7999305627869788,-0.5634832382202148,-12.950058937072754,0.8098860085010529,0.6513882384963514,0.1911856,0.39198825,0.32215083,-59373.152,0.55908126,0.36789566
11176400,           ARROYO VALLE BL LANG CN NR LIVERMORE CA,37.56132,-121.68384,18,0.6637750567271216,0.7190066838984934,-0.055231627171371867,0.65-0.8,0.65-0.8,0.6020962502988839,0.8234184980392456,,0.623674601316452,1312.751976617044,0.071039736,0.49109274,0.13669926,-84701.516,0.3301484,0.25910866
11180500,                             DRY C A UNION CITY CA,37.60605,-122.02385,18,0.7425284135554702,0.7921460528182072,-0.04961763926273699,0.65-0.8,0.65-0.8,0.6111246381569132,0.6735642850399017,,0.7029584050178528,4426.566884148213,0.16105512,0.5050221,0.14256652,-80697.55,0.4246354,0.2635803
11180960,          CULL C AB CULL C RES NR CASTRO VALLEY CA,37.71771,-122.05441,18,0.7210671921818806,0.7239343998601103,-0.0028672076782296774,0.65-0.8,0.65-0.8,0.4783415598954569,0.7945589423179626,-337.1038513183594,0.6830871999263763,1185.3640862203774,0.19461566,0.4910088,0.2076034,-72980.04,0.48987836,0.2952627
11224500,           LOS GATOS C AB NUNEZ CYN NR COALINGA CA,36.21468,-120.47071,18,0.11386178328977059,-5.191477178340161,5.305338961629932,0-0.2,<0,0.5711315989628797,0.450562834739685,,0.0991464257240295,382.13068399538616,0.09698786,0.52135634,0.04340619,-102338.16,0.24607448,0.34306234
