gage_id,gage_name,lat,lon,NSE,KGE,logNSE,lowflow_NSE,highflow_NSE,fdc_error,ET_ratio,runoff_ratio,BFI,BFI_obs,BFI_error,groundwater_loss_fraction,water_balance_closure,sum_surface_runoff,sum_interflow,sum_recharge_to_groundwater,sum_baseflow,sum_groundwater_loss,sum_actual_ET,sum_total_discharge,mean_groundwater_storage,mean_soil_moisture,mean_snowpack,COEF_t_mean,SQ_t_mean,ETGAM_t_mean,SUB_t_mean,CRAK_t_mean,K_t_mean,LG_t_mean,SG_CRIT_mean,CFMAX_t_mean,INSC_wavg,COEF_wavg,SQ_wavg,SMSC_wavg,SUB_wavg,CRAK_wavg,K_wavg,LG_wavg,TT_wavg,CFMAX_wavg,CFR_wavg,CWH_wavg,SG_CRIT_wavg,route_a_static,route_b_static,weight_c1,weight_c2,weight_c3,weight_c4
12374250,                Mill Cr ab Bassoo Cr nr Niarada MT,47.82966,-114.69763,-0.02082979679107666,-0.14981435817402522,-0.35138678550720215,-560.31591796875,-0.18860435485839844,1.8292255551741543,0.4008053,0.38467398,0.5628172,0.5829908,0.02017361,0.9466955,-45024.156,1568.5193,517.3911,4062.0015,2684.1194,47670.312,4969.0693,4769.078,32.5535,94.37371,61.686703,310.86288,1.8227504,1.4768159,0.14784823,0.79535586,0.103974864,0.05703561,86.35125,2.1256936,0.07180729,0.7453225,0.2793286,0.39845237,0.28249174,0.7328326,0.33998272,0.36110222,0.4684325,0.23912504,0.50339854,0.10257972,0.28783745,0.47669643,0.26981518,0.46926913,0.11445264,0.25232556,0.16395277
12375900,                    South Crow Creek near Ronan MT,47.4916,-114.02677,0.8072274178266525,0.8732765945454071,0.7778873592615128,-11.887940406799316,0.6502000689506531,0.14229712074605264,0.22166769,0.6956653,0.41234502,0.62790275,0.21555772,0.89089304,-42773.902,7103.3193,634.0191,5985.9067,5427.374,44316.25,4194.0254,13162.216,90.95904,56.80439,190.4496,265.13913,3.0845652,1.8201287,0.32389033,0.5957406,0.10507595,0.055885695,87.92145,1.9441258,0.023292026,0.6146831,0.4715661,0.12316047,0.46505687,0.54994595,0.3436901,0.37481743,0.592231,0.19445574,0.5084918,0.13867435,0.2930715,0.49004078,0.27059767,0.44313848,0.07656095,0.33536634,0.14493422
12377150,         Mission Cr ab Reservoir nr ST Ignatius MT,47.32299,-113.97955,0.8280770629644394,0.808605986786393,0.6326271891593933,-5.429834842681885,0.6084794104099274,0.31740980304566446,0.15498112,0.78971034,0.25854164,0.5965764,0.33803475,0.9048098,-41608.09,12517.322,409.83282,4760.9736,4506.8545,42838.88,3421.0073,17431.832,59.483,42.19089,326.89014,228.93182,4.1336594,2.0684543,0.4660102,0.45958975,0.11837565,0.05363526,97.83991,1.8862519,0.015990917,0.51123375,0.6426491,0.06282149,0.5812278,0.43953532,0.38847017,0.40719885,0.68915355,0.1657251,0.52454174,0.11146563,0.32613295,0.53123945,0.21927163,0.3718196,0.06633711,0.31851834,0.24332495
12381400,              South Fork Jocko River near Arlee MT,47.19549,-113.85065,0.792085587978363,0.7091904775928325,0.4361723065376282,-96.83944702148438,0.7315281927585602,0.875363165511929,0.31058162,0.39968368,0.45445064,0.58657223,0.1321216,0.947405,-48496.21,2679.448,868.59735,6339.0605,2953.8604,53208.547,5050.828,6499.8486,81.135155,112.752304,158.20656,308.75223,1.528015,1.7416093,0.14611384,0.7881671,0.11172651,0.060464095,113.631424,2.0043836,0.07646562,0.73929214,0.22418156,0.41225365,0.27871495,0.7495956,0.3660825,0.43954974,0.5684368,0.20887735,0.57239366,0.1264236,0.37877142,0.48824292,0.4643449,0.33759105,0.1469253,0.35841414,0.15706949
12383500,                     Big Knife Creek near Arlee MT,47.14743,-113.97427,0.38420653343200684,0.6986013563407081,0.3414399027824402,-32.89992904663086,-0.09885060787200928,0.08147977399245972,0.31006107,0.47340065,0.5812138,0.7552,0.17398626,0.89816666,-36805.438,2525.6433,779.83765,6941.4453,4582.333,40416.04,5163.7964,7884.0747,134.32806,119.0898,151.43811,322.65652,1.7993163,1.7199779,0.1314987,0.8118575,0.08919371,0.04783106,88.824715,2.2041445,0.069523335,0.77901876,0.2597935,0.4313606,0.24457267,0.78057367,0.2902145,0.34544313,0.5374749,0.23512408,0.5518089,0.0858441,0.29608238,0.512817,0.52781355,0.49042064,0.095331326,0.21670231,0.1975457
12388400,                Revais Cr bl West Fork nr Dixon MT,47.26632,-114.40679,0.7740658074617386,0.6971461235881415,0.5349597632884979,-205.9484405517578,0.7001824975013733,0.6564823410445503,0.38305664,0.3947018,0.45875162,0.56232,0.103568375,0.9611391,-54078.586,2137.6829,578.0777,4017.9558,2300.8867,56907.32,4867.562,5015.539,46.44578,85.4059,80.328804,298.27924,1.8797634,1.5106598,0.17806932,0.7622583,0.11164514,0.06588963,103.8739,1.7873236,0.04844758,0.70936924,0.28613344,0.3406804,0.34314257,0.71325415,0.36580855,0.42805132,0.57299507,0.19000375,0.5517813,0.12180308,0.34624633,0.45883927,0.4202305,0.37483755,0.12207133,0.34164152,0.16144952
12390700,               Prospect Creek at Thompson Falls MT,47.58605,-115.35515,0.7310686707496643,0.6429130097054117,0.6878386437892914,-63.43091583251953,0.5145397484302521,0.5612972572381253,0.32779127,0.4047545,0.55559695,0.6165225,0.060925543,0.9438061,-57191.42,2157.3423,777.1022,6733.2344,3667.7766,61602.297,5346.243,6601.506,60.298496,116.01507,123.415886,313.25266,1.3828173,1.6149493,0.12835349,0.81803703,0.11542182,0.06829894,100.259705,1.9117618,0.057365924,0.75215036,0.20426367,0.4287343,0.23945305,0.7761085,0.3785246,0.42455918,0.52725035,0.20467052,0.5482844,0.11103479,0.33419904,0.41956115,0.28688645,0.40650105,0.11283217,0.3305597,0.15010712
12411000,  NF COEUR D ALENE R AB SHOSHONE CK NR PRICHARD ID,47.70611,-115.97917,0.661296010017395,0.6036395828723435,0.6445575654506683,-40.67911148071289,0.4210689067840576,0.5483998638161539,0.28111148,0.5632992,0.5817984,0.50711834,0.07468003,0.8581204,-33821.234,3526.601,839.3307,7430.4688,6072.99,36730.816,5209.182,10438.308,40.11241,118.717606,88.26489,319.31494,2.1856213,1.5295913,0.18154056,0.7597057,0.096774116,0.044983793,76.68807,2.4216254,0.09406083,0.7694712,0.32571417,0.39107358,0.30820525,0.71444786,0.31573772,0.304491,0.4435804,0.27567357,0.48510456,0.07682753,0.25562692,0.57388955,0.23213488,0.54457974,0.09363286,0.14755978,0.21422762
12414500,                         ST JOE RIVER AT CALDER ID,47.27464,-116.18905,0.8550201207399368,0.8407829322342462,0.8378612846136093,-12.341756820678711,0.7136179506778717,0.28813073450598714,0.23943701,0.59711134,0.43746027,0.5801167,0.14265642,0.8977921,-42896.867,5734.9434,1030.3241,7034.2705,5260.08,46204.465,4821.5835,12024.132,61.404278,90.06965,147.70424,297.2757,2.3150074,1.6254225,0.24343768,0.68657994,0.10456045,0.055326894,95.78673,2.1275,0.06963757,0.7065021,0.34885222,0.27911496,0.41223657,0.6322858,0.34195432,0.38152218,0.5108207,0.22640896,0.51580673,0.09536719,0.3192891,0.6432152,0.2993407,0.41238526,0.13642769,0.23627958,0.2149075
12447390,"                     ANDREWS CREEK NEAR MAZAMA, WA",48.82292,-120.14592,0.7502863556146622,0.7685097634684793,0.7127930223941803,-22.522319793701172,0.5867793560028076,0.48980028402031917,0.241535,0.57663494,0.34293765,0.5192104,0.17627275,0.9477188,-46735.973,4558.7515,648.28564,4406.3438,2716.5654,49244.12,3318.059,7921.456,66.87837,59.861984,254.72946,277.33273,2.6501124,2.0502882,0.29428694,0.6274585,0.105208255,0.060897257,99.96108,2.1811016,0.024217488,0.6495221,0.4037779,0.17266104,0.46645904,0.6236766,0.34413555,0.43194833,0.6021664,0.20940495,0.5589843,0.0937147,0.33320358,0.3876403,0.5164527,0.35295692,0.13318914,0.33873433,0.17511961
