model,basin_id,cumulative_precipitation_mm,mean_abs_daily_wb_residual_mm_day,max_abs_daily_wb_residual_mm_day,cumulative_relative_wb_error,external_loss_over_P
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5413500,14808.1611328125,0.0001794407144188,0.000232484890148,6.639282615606574e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5414000,15092.54296875,0.0001789597154129,0.000242511392571,6.496719939398622e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5444000,15626.998046875,0.0001823852508096,0.000239262197283,6.394630589835981e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5454000,15168.3828125,0.0001812113769119,0.0002303452056366,6.545570285619739e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5458000,13935.708984375,0.0001785451167961,0.0002309498813701,7.019726922379967e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5466500,15213.7109375,0.0001832676935009,0.0002327619877178,6.60012334840078e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5487980,15083.0625,0.000180573988473,0.000238154141698,6.559442834915101e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5488200,15268.4990234375,0.0001817547890823,0.0002436569629935,6.522150397800059e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5489000,15330.6943359375,0.0001828357198974,0.0002450302999932,6.534321828862815e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5495000,15576.3115234375,0.0001840862969402,0.0002426457067485,6.475273793391695e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5495500,15242.8994140625,0.0001871512795332,0.000244194001425,6.727078640479791e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5501000,15859.525390625,0.0001871849963208,0.0002506205346435,6.466691655717981e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5503800,16631.10546875,0.0001871396962087,0.0002438580850139,6.165184949718448e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5507600,16435.29296875,0.0001868642430054,0.0002405228296993,6.229455256271784e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5508805,16025.201171875,0.0001877692266134,0.0002467919839546,6.419810908337368e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5514500,16453.48828125,0.0001874589215731,0.0002373637398704,6.24236898869591e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5525500,15626.263671875,0.0001835209986893,0.0002314338489668,6.434753332000056e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5556500,15270.79296875,0.0001821945625124,0.0002343157393625,6.536949257337643e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5584500,15468.5380859375,0.0001859768090071,0.000237743865,6.58735109654359e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5585000,15323.4150390625,0.0001870866981334,0.0002333767042728,6.689422787862726e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5591550,16115.869140625,0.000188169782632,0.0002441556425765,6.397310917204963e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5592050,15895.0986328125,0.0001872518332675,0.0002429845044389,6.454523118791041e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5592575,16658.01171875,0.0001864824007498,0.0002478613168932,6.133607755502994e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5593575,16288.4423828125,0.0001880949566839,0.0002434701309539,6.327015628433322e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5593900,16104.8720703125,0.0001875298767117,0.0002367529086768,6.379909055066177e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,5595730,17031.69140625,0.0001884390512714,0.0002456867950968,6.061979197933775e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6037500,13142.7373046875,0.0001580242387717,0.0002436406648484,6.587781410817824e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6043500,11856.056640625,0.0001456224417779,0.0002317655598744,6.729601210229062e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6154410,7258.62646484375,0.000189172453247,0.0002312160213477,0.0001427922902294,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6188000,12417.439453125,0.0001432485732948,0.000230108416872,6.32061823208118e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6191500,11895.4951171875,0.0001499800855526,0.000232670281548,6.908000529713848e-05,0.0
