basin_id,n_pairs_daily,n_pairs_monthly,corr_daily,corr_monthly,R2_monthly,NSE_monthly,KGE_monthly,rmse_daily_mm,rmse_monthly_mm,bias_daily_mm,bias_monthly_mm,mean_model_swe_mm,mean_nsidc_swe_mm,lat,lon,area_km2,mean_swe_mm_1996_2020,snow_dominated_gt10mm
7208500,5479,180,0.7630131399541306,0.7783999566613752,0.6059064925304307,0.2812817566217787,0.2951251437030783,17.063020419817327,16.08903141054937,6.433844930029307,6.478918201477938,16.675431259364952,10.241586329335645,36.37226,-104.97,159.22,10.403828046487842,True
8164600,5479,180,0.0175271083399155,0.066672902307211,0.0044452759020669,-0.2407586819976734,-0.693694917243801,25.431350915173383,24.802967272934943,-10.795782422070646,-10.928765382315571,0.0026870392224732,10.798469461293118,28.89138,-96.81915,253.92,10.86597599311398,True
8189500,5479,180,-0.000868039515432,-0.0003202626342914,1.0256815492327062e-07,-0.2631848372071341,-0.7299892056537884,23.57298389602939,23.03583289067196,-10.386110306392528,-10.514568209661352,0.0086954170772662,10.394805723469794,28.29195,-97.27916,1808.29,10.46528961143976,True
8269000,5479,180,0.9174133839453216,0.927323094116832,0.8599281208824147,0.8590061755900734,0.9158822414124994,15.57059524321522,14.168512671631303,0.0387720768752831,0.0401562817053689,29.2205538162018,29.18178173932652,36.43947,-105.50362,163.27,29.611600188630774,True
8324000,5479,180,0.7830681008663387,0.7998924138500368,0.6398278737348386,0.4389921971919228,0.3560076420859828,35.770534017803634,34.427212900735164,-19.057886196105823,-19.13913619335713,19.65549047125592,38.71337666736174,35.66169,-106.74337,1207.95,39.23791287130035,True
8378500,5479,180,0.8320286295911928,0.8475217001630937,0.7182930322473409,0.5768441622474372,0.5050738307739052,55.173264331708246,52.72127677487499,-29.04637912776172,-29.03984930324446,45.478032826961766,74.52441195472349,35.70837,-105.68252,444.96,75.57734468031371,True
9386900,5479,180,0.7821490230111484,0.8166844156866431,0.6669734348254336,0.6259326841285844,0.5574277260279186,17.881486112467666,16.138587180067976,-3.870636727935848,-3.9201233031780753,12.074816634672294,15.94545336260814,35.28253,-108.55341,184.94,16.20235983313347,True
9430500,5479,180,0.5228952500460172,0.5382871700166505,0.2897530774045344,0.142246925708024,0.0669674787816682,17.263112217257827,16.396648707519727,-6.656216207613089,-6.743416137382017,3.927003676863439,10.583219884476527,33.06118,-108.53727,4804.93,10.74955434752736,True
9447800,5479,180,0.1054177762499273,0.1658349757166158,0.0275012391709305,-0.7778135305693497,-0.6344660274449871,76.57490175303494,75.8578437944433,-49.9482480430298,-50.273532132088256,0.1420267000045116,50.09027474303432,32.95562,-109.53119,781.96,50.83783954440598,True
9480000,5479,180,0.0186479042036755,0.0336701072900874,0.001133676124926,-0.8810709017859788,-0.7122314400600649,364.3546415788219,361.267491721064,-245.8964643752364,-247.25518682128944,0.0485186268680548,245.94498300210444,31.35538,-110.58953,213.38,247.12597939194728,True
9484000,5479,180,0.411217833159079,0.4977858787083207,0.2477907810414149,-0.2402912007134705,-0.3597275809628786,24.1174573177682,23.39273462115444,-12.355312338605115,-12.507397551272764,1.1031699410152518,13.45848227962037,32.31674,-110.81037,103.65,13.647972779816223,True
9484600,5479,180,0.0486518707478517,0.1006340533573639,0.0101272126951327,-0.6657098699539798,-0.6744329703729521,127.63442660190044,126.32996107510536,-79.2587931854934,-79.88875145807059,0.0377802705253877,79.29657345601879,32.03591,-110.67758,1179.59,79.61084757005847,True
9497800,5479,180,0.6359608750064595,0.6569133766683837,0.4315351844458577,-0.100652419701219,-0.2245905403219319,44.12329555815754,42.85468773654941,-23.41588858821899,-23.67274131796612,3.369518393746332,26.785406981965323,33.84311,-110.55761,750.86,27.185054701440876,True
9497980,5479,180,0.5863556638620316,0.6309440210421238,0.3980903576888039,-0.3474552504474786,-0.3713360768716669,84.19330903169153,82.78100726031,-47.20328403895376,-47.69427115080887,2.3614514655428644,49.56473550449662,33.82783,-110.85623,516.8,50.23907206038091,True
9505200,5479,180,0.5306536915354412,0.5588552840255477,0.3123192284832756,-0.2583841024053905,-0.151387442341071,67.98220196842527,66.43972107058681,-42.5139130436933,-42.76448853168812,8.57465026058431,51.0885633042776,34.67474,-111.67209,285.68,51.80066135835103,True
9505350,5479,180,0.5282021361332617,0.580599634530897,0.3370959356174112,-0.4272166506476305,-0.3168914745135323,68.94924083578327,67.89970449135987,-43.12254104547867,-43.45301807759358,3.7200780642873377,46.84261910976602,34.72863,-111.77571,365.66,47.51610151899907,True
9505800,5479,180,0.5653098304490505,0.5933369487629929,0.3520487347673784,-0.2730347257395,-0.1987605687258939,82.59770404106935,81.33286510156232,-51.70690750891127,-52.08411840144446,8.284022551841245,59.9909300607525,34.53864,-111.69404,614.94,60.824085614819566,True
9508300,5479,180,0.3011897257023542,0.3982572992251965,0.1586088763861476,-0.3968968534891295,-0.5041014412850116,69.4955692541789,67.7417974194536,-36.82703570340851,-37.2844983868062,0.6028282159563322,37.42986391936485,34.16087,-111.69292,93.0,38.00849796111565,True
9510200,5479,180,0.0790794476787284,0.2139688936346362,0.0457826874432302,-0.5258631590851417,-0.6170831824122616,92.34240447646812,90.68577339487906,-52.710990099035286,-53.26316361822697,0.0138380781083552,52.72482817714364,33.69421,-111.5418,425.31,53.53109254328013,True
10205030,5479,180,0.552754780890467,0.5635225747232889,0.3175576922227647,-0.8321282001831916,-0.9672747070115146,58.21836789150299,56.75768289385328,33.62002840402126,33.67419163781746,51.093143785548925,17.473115381527652,38.91191,-111.53047,134.6,17.762938042545017,True
11124500,5479,180,0.2090237165563599,0.2411869564841809,0.0581711479781021,-0.2923080764554262,-0.5432489031432892,27.010871281848924,25.79765425480053,-12.739095122097856,-12.876007769511974,0.3595890347300332,13.098684156827888,34.59666,-119.90875,191.52,13.28865127572118,True
11230500,5479,180,0.8544731455146259,0.8649407106741528,0.7481224329815085,-0.3520682624547064,-0.1986397115524332,182.95840271515107,179.57468690206971,103.86349090266508,104.08650106589457,208.5813687025008,104.71787779983576,37.33939,-118.97345,135.53,106.27951680811212,True
